Id,INTPTLAT10,INTPTLON10
48113015206,32.8052234,-96.9685048
48113015303,32.807333,-97.0252147
48113015304,32.7852499,-97.006089
48113019013,32.9128587,-96.6742771
48113001203,32.8026242,-96.7440785
48113019031,32.974462,-96.6794383
48113019029,32.9480766,-96.666461
48113019028,32.9561306,-96.6749103
48113019026,32.9378879,-96.6392329
48113019027,32.9571194,-96.6401798
48113019004,32.9261195,-96.6962442
48113001102,32.8179521,-96.7573709
48113000800,32.8078449,-96.7854163
48113001101,32.8156844,-96.7659906
48113001002,32.8155628,-96.7754602
48113001001,32.8211822,-96.776546
48113007804,32.9156922,-96.7570098
48113000900,32.8137285,-96.7811383
48113000300,32.8301656,-96.7761317
48113000202,32.8318688,-96.7662373
48113000201,32.8327403,-96.7571634
48113020500,32.7818987,-96.8633102
48113020300,32.7743,-96.7668089
48113020400,32.7717084,-96.7911232
48113019212,32.9343942,-96.7598281
48113001703,32.7995347,-96.7968999
48113010903,32.6764017,-96.8868307
48113012603,32.8408732,-96.6576767
48113007820,32.8673726,-96.7500504
48113007911,32.8614287,-96.759417
48113006301,32.713071,-96.8485394
48113006302,32.7251924,-96.8473774
48113006501,32.7300528,-96.8883306
48113006502,32.7225588,-96.8837859
48113006700,32.7442442,-96.8867307
48113006800,32.7538742,-96.8647377
48113006900,32.7622528,-96.8664039
48113007101,32.8443119,-96.8175334
48113015305,32.810085,-96.9854862
48113015306,32.792222,-96.9869534
48113015401,32.7705943,-97.021455
48113015403,32.7553692,-97.0242611
48113015404,32.7472841,-97.02775
48113015500,32.7519466,-97.006753
48113015600,32.7543061,-96.9850167
48113018900,32.9202083,-96.6572998
48113018802,32.9128808,-96.640615
48113018801,32.9247196,-96.6347491
48113018700,32.9016771,-96.6398746
48113018600,32.9017203,-96.6571903
48113018403,32.8611265,-96.6507495
48113018402,32.8716444,-96.6404469
48113018401,32.8710707,-96.6564631
48113000100,32.8166094,-96.7365761
48113017703,32.7857608,-96.6171515
48113017201,32.7246272,-96.6251422
48113017814,32.8022125,-96.6029404
48113011900,32.7415148,-96.6474452
48113011800,32.7273653,-96.6475439
48113002500,32.7853521,-96.7452468
48113018135,32.8813863,-96.5311475
48113016622,32.5547762,-96.8392934
48113016624,32.5656359,-96.9171362
48113013726,32.9449052,-96.848552
48113019213,32.9365339,-96.754721
48113019038,32.971347,-96.7096657
48113019039,32.946556,-96.7074482
48113007102,32.8431578,-96.8284897
48113007201,32.8592616,-96.8740141
48113007202,32.8618882,-96.8652627
48113007301,32.8595008,-96.813724
48113007302,32.8593389,-96.8345017
48113007601,32.8876783,-96.8294995
48113007604,32.8873452,-96.7953727
48113007605,32.8879061,-96.8106441
48113007700,32.8726561,-96.7954108
48113015700,32.7586158,-96.9661769
48113015800,32.7570443,-96.94349
48113016001,32.7368834,-97.0095054
48113016002,32.7359154,-97.001915
48113016100,32.7254956,-97.0252005
48113016201,32.7267005,-97.0030138
48113016202,32.7149869,-97.0046111
48113018300,32.8859359,-96.643061
48113018206,32.8844288,-96.6268391
48113018204,32.9018464,-96.6257147
48113018205,32.8887332,-96.6158652
48113018132,32.8361747,-96.5761895
48113018130,32.8361985,-96.6257795
48113018129,32.8429947,-96.6132597
48113018127,32.8529348,-96.6393291
48113019025,32.9463108,-96.6297022
48113018126,32.8587846,-96.6299976
48113018124,32.9379892,-96.5431663
48113018104,32.8005099,-96.5475634
48113017808,32.8291502,-96.6067159
48113017702,32.7762547,-96.5824878
48113017306,32.7262114,-96.5813147
48113017303,32.7561224,-96.576107
48113019042,32.9736501,-96.6507078
48113019043,32.971026,-96.6191959
